PM2.5 (µg/m³),CO (mg/m³),AT (°C),RH (%),WS (m/s),WD (deg),TOT-RF (mm),BP (mmHg),month,weekday,hour,season,AQI_PM_2_5,AQI_CO
95.9,1.41,15.85,95.55,0.27,118.63,0.0,1018.1,1,6,0,0,3,1
94.81,1.46,15.71,96.59,0.27,90.9,0.0,1018.2,1,6,0,0,3,1
94.12,1.47,15.66,97.1,0.25,74.32,0.0,1018.1,1,6,0,0,3,1
94.12,1.45,15.65,97.53,0.26,84.46,0.0,1018.3,1,6,0,0,3,1
94.12,1.44,15.66,97.77,0.23,89.09,0.0,1018.2,1,6,1,0,3,1
100.91,1.43,15.57,97.99,0.27,78.44,0.0,1018.1,1,6,1,0,3,1
105.23,1.41,15.48,98.24,0.23,55.19,0.0,1018.1,1,6,1,0,3,1
105.23,1.37,15.44,98.48,0.2,55.65,0.0,1018.0,1,6,1,0,3,1
105.23,1.34,15.43,98.55,0.14,63.55,0.0,1018.0,1,6,2,0,3,1
100.47,1.3,15.4,98.78,0.22,57.47,0.0,1017.9,1,6,2,0,3,1
97.45,1.27,15.36,99.12,0.17,31.01,0.0,1017.8,1,6,2,0,3,1
97.45,1.24,15.27,99.33,0.13,17.8,0.0,1017.7,1,6,2,0,3,1
97.45,1.21,15.14,99.34,0.16,87.42,0.0,1017.5,1,6,3,0,3,1
84.98,1.19,15.03,99.35,0.23,48.18,0.0,1017.5,1,6,3,0,2,1
77.04,1.17,14.99,99.35,0.19,64.76,0.0,1017.5,1,6,3,0,2,1
77.04,1.15,14.95,99.35,0.19,80.48,0.0,1017.6,1,6,3,0,2,1
77.04,1.14,14.9,99.35,0.25,70.6,0.0,1017.5,1,6,4,0,2,1
78.91,1.12,14.89,99.36,0.25,82.94,0.0,1017.7,1,6,4,0,2,1
80.11,1.11,14.95,99.36,0.14,24.87,0.0,1017.8,1,6,4,0,2,1
80.11,1.11,14.88,99.36,0.26,67.38,0.0,1017.9,1,6,4,0,2,1
80.11,1.11,14.81,99.37,0.46,83.43,0.0,1018.1,1,6,5,0,2,1
81.29,1.12,14.72,99.37,0.71,87.77,0.0,1018.2,1,6,5,0,2,1
82.04,1.1,14.68,99.37,0.49,73.71,0.0,1018.4,1,6,5,0,2,1
82.04,1.11,14.65,99.38,0.25,64.27,0.0,1018.6,1,6,5,0,2,1
82.04,1.1,14.71,99.38,0.27,55.86,0.0,1018.8,1,6,6,0,2,1
79.52,1.14,14.79,99.38,0.19,36.31,0.0,1019.0,1,6,6,0,2,1
77.91,1.13,14.82,99.39,0.26,24.26,0.0,1019.4,1,6,6,0,2,1
77.91,1.13,14.82,99.39,0.28,68.71,0.0,1019.6,1,6,6,0,2,1
77.91,1.12,14.89,99.38,0.23,57.22,0.0,1019.9,1,6,7,0,2,1
74.67,1.12,14.95,99.38,0.23,55.02,0.0,1020.1,1,6,7,0,2,1
72.6,1.12,15.12,99.38,0.21,44.41,0.0,1020.5,1,6,7,0,2,1
72.6,1.12,15.35,99.38,0.23,70.94,0.0,1020.8,1,6,7,0,2,1
72.6,1.13,15.65,99.37,0.51,90.81,0.0,1021.1,1,6,8,0,2,1
67.51,1.13,16.07,99.36,0.6,82.34,0.0,1021.3,1,6,8,0,2,1
64.27,1.14,16.52,98.84,0.45,88.42,0.0,1021.4,1,6,8,0,2,1
64.27,1.14,16.93,96.58,0.25,77.66,0.0,1021.6,1,6,8,0,2,1
64.27,1.12,17.12,94.22,0.66,85.86,0.0,1021.7,1,6,9,0,2,1
66.22,1.13,17.52,91.92,0.45,93.86,0.0,1021.6,1,6,9,0,2,1
67.47,1.12,17.97,88.93,0.29,71.59,0.0,1021.5,1,6,9,0,2,1
67.47,1.12,18.37,86.29,0.57,100.26,0.0,1021.4,1,6,9,0,2,1
67.47,1.1,18.32,86.1,0.84,96.05,0.0,1021.2,1,6,10,0,2,1
65.14,1.07,18.49,85.09,0.14,68.15,0.0,1021.0,1,6,10,0,2,1
63.66,1.06,18.89,82.03,1.02,98.58,0.0,1020.8,1,6,10,0,2,1
63.66,1.05,19.39,80.17,0.59,93.24,0.0,1020.6,1,6,10,0,2,1
63.66,1.05,19.05,84.48,1.04,103.78,0.0,1020.3,1,6,11,0,2,1
60.38,1.04,19.71,79.55,0.6,99.22,0.0,1020.1,1,6,11,0,2,1
58.28,1.01,20.33,76.18,0.27,101.58,0.0,1019.8,1,6,11,0,1,1
58.28,1.03,20.53,75.21,0.28,163.94,0.0,1019.5,1,6,11,0,1,1
58.28,0.98,20.97,73.81,0.15,111.02,0.2,1019.2,1,6,12,0,1,0
60.67,1.02,21.09,72.62,0.84,60.09,0.0,1018.9,1,6,12,0,2,1
62.19,1.01,21.25,72.67,0.96,29.27,0.0,1018.6,1,6,12,0,2,1
62.19,1.02,21.45,72.07,0.44,43.08,0.0,1018.4,1,6,12,0,2,1
62.19,1.02,21.44,72.6,0.71,23.45,0.0,1018.1,1,6,13,0,2,1
64.64,1.02,21.63,72.17,0.83,36.04,0.0,1017.9,1,6,13,0,2,1
66.2,1.02,21.82,71.19,0.65,30.29,0.0,1017.7,1,6,13,0,2,1
66.2,1.02,22.07,70.05,0.31,25.61,0.0,1017.6,1,6,13,0,2,1
66.2,1.02,22.07,70.48,0.31,20.0,0.0,1017.5,1,6,14,0,2,1
64.74,1.02,21.73,73.41,0.56,24.0,0.0,1017.4,1,6,14,0,2,1
63.81,1.02,21.01,76.79,0.46,32.27,0.0,1017.3,1,6,14,0,2,1
63.81,1.03,21.25,76.25,0.18,40.22,0.0,1017.2,1,6,14,0,2,1
63.81,1.04,21.31,75.35,0.24,25.32,0.0,1017.1,1,6,15,0,2,1
61.1,1.03,21.27,74.92,0.31,24.75,0.0,1017.1,1,6,15,0,2,1
59.38,1.03,20.58,81.91,0.19,12.1,0.2,1017.1,1,6,15,0,1,1
59.38,1.03,20.07,83.16,0.16,7.13,0.0,1017.2,1,6,15,0,1,1
59.38,1.01,19.82,84.28,0.2,9.48,0.0,1017.2,1,6,16,0,1,1
58.51,1.03,19.54,85.88,0.15,328.87,0.0,1017.2,1,6,16,0,1,1
57.95,1.03,19.37,86.53,0.17,33.92,0.0,1017.2,1,6,16,0,1,1
57.95,1.04,19.14,88.27,0.08,318.35,0.0,1017.3,1,6,16,0,1,1
57.95,1.06,18.9,89.3,0.1,0.96,0.0,1017.4,1,6,17,0,1,1
62.9,1.09,18.53,92.75,0.15,336.04,0.0,1017.7,1,6,17,0,2,1
66.05,1.1,18.24,93.38,0.22,8.51,0.0,1017.9,1,6,17,0,2,1
66.05,1.11,18.1,93.68,0.21,4.04,0.0,1018.2,1,6,17,0,2,1
66.05,0.99,17.84,95.74,0.18,27.03,0.0,1018.4,1,6,18,0,2,0
64.67,1.06,17.75,95.68,0.21,16.06,0.0,1018.6,1,6,18,0,2,1
63.8,1.07,17.7,94.75,0.15,28.81,0.0,1018.6,1,6,18,0,2,1
63.8,1.08,17.68,93.67,0.27,31.65,0.0,1018.7,1,6,18,0,2,1
63.8,1.09,17.56,94.0,0.26,27.24,0.0,1018.8,1,6,19,0,2,1
65.24,1.1,17.37,95.02,0.22,12.93,0.0,1019.0,1,6,19,0,2,1
66.16,1.11,17.09,96.53,0.28,11.47,0.0,1019.2,1,6,19,0,2,1
66.16,1.13,17.04,96.76,0.28,5.66,0.0,1019.3,1,6,19,0,2,1
66.16,1.14,16.99,97.29,0.23,349.01,0.0,1019.4,1,6,20,0,2,1
66.51,1.14,17.1,97.0,0.13,16.86,0.0,1019.6,1,6,20,0,2,1
66.73,1.14,17.23,95.81,0.22,19.08,0.0,1019.7,1,6,20,0,2,1
66.73,1.16,17.15,95.33,0.26,18.62,0.0,1019.8,1,6,20,0,2,1
66.73,1.17,16.97,95.9,0.29,24.05,0.0,1019.9,1,6,21,0,2,1
67.46,1.21,16.94,96.15,0.61,33.72,0.0,1019.9,1,6,21,0,2,1
67.92,1.2,17.06,95.59,0.28,70.54,0.0,1019.9,1,6,21,0,2,1
67.92,1.19,16.92,96.39,0.21,76.19,0.0,1019.9,1,6,21,0,2,1
67.92,1.2,16.83,97.04,0.21,41.38,0.0,1019.9,1,6,22,0,2,1
68.55,1.2,16.65,97.87,0.18,18.79,0.0,1019.7,1,6,22,0,2,1
68.95,1.19,16.49,98.07,0.21,37.78,0.0,1019.6,1,6,22,0,2,1
68.95,1.2,16.33,98.57,0.25,47.58,0.0,1019.4,1,6,22,0,2,1
68.95,1.19,16.19,99.19,0.22,54.89,0.0,1019.3,1,6,23,0,2,1
67.07,1.18,16.04,99.33,0.27,92.17,0.0,1019.2,1,6,23,0,2,1
65.88,1.18,15.92,99.34,0.28,114.64,0.0,1019.2,1,6,23,0,2,1
65.88,1.12,15.72,99.35,0.25,113.53,0.0,1019.1,1,0,0,0,2,1
61.02,1.15,15.55,99.36,0.29,122.69,0.0,1019.1,1,0,0,0,2,1
57.92,1.13,15.46,99.36,0.29,107.82,0.0,1019.0,1,0,0,0,1,1
57.92,1.12,15.42,99.36,0.28,113.93,0.0,1019.0,1,0,0,0,1,1
57.92,1.12,15.31,99.36,0.26,102.93,0.0,1018.9,1,0,1,0,1,1
56.53,1.11,15.2,99.37,0.28,96.58,0.0,1018.7,1,0,1,0,1,1
55.65,1.11,15.08,99.37,0.29,96.82,0.0,1018.4,1,0,1,0,1,1
55.65,1.12,14.99,99.36,0.35,89.65,0.0,1018.3,1,0,1,0,1,1
55.65,1.13,15.1,99.36,0.27,85.15,0.0,1018.1,1,0,2,0,1,1
59.16,1.13,15.2,99.36,0.26,64.68,0.0,1018.1,1,0,2,0,1,1
61.39,1.13,15.26,99.37,0.2,55.72,0.0,1018.1,1,0,2,0,2,1
61.39,1.13,15.3,99.37,0.25,80.26,0.0,1018.1,1,0,2,0,2,1
61.39,1.14,15.35,99.36,0.29,102.36,0.0,1018.1,1,0,3,0,2,1
58.8,1.14,15.28,99.37,0.26,79.83,0.0,1018.1,1,0,3,0,1,1
57.15,1.14,15.25,99.37,0.3,78.05,0.2,1018.1,1,0,3,0,1,1
57.15,1.15,15.22,99.37,0.23,48.98,0.0,1018.0,1,0,3,0,1,1
57.15,1.16,15.2,99.37,0.26,75.63,0.0,1018.1,1,0,4,0,1,1
59.9,1.15,15.14,99.37,0.26,67.54,0.0,1018.2,1,0,4,0,1,1
61.65,1.16,15.05,99.37,0.27,87.95,0.0,1018.4,1,0,4,0,2,1
61.65,1.2,14.92,99.37,0.32,87.41,0.0,1018.3,1,0,4,0,2,1
61.65,1.18,14.82,99.38,0.25,66.89,0.0,1018.5,1,0,5,0,2,1
60.12,1.18,14.81,99.38,0.25,69.75,0.0,1018.8,1,0,5,0,2,1
59.14,1.2,14.9,99.37,0.34,79.2,0.0,1019.0,1,0,5,0,1,1
59.14,1.2,14.92,99.37,0.27,92.06,0.0,1019.2,1,0,5,0,1,1
59.14,1.17,14.99,99.37,0.28,94.14,0.0,1019.5,1,0,6,0,1,1
61.5,1.2,15.06,99.36,0.22,55.1,0.0,1019.7,1,0,6,0,2,1
63.01,1.21,15.05,99.36,0.37,64.03,0.0,1020.0,1,0,6,0,2,1
63.01,1.2,15.1,99.36,0.11,40.21,0.0,1020.3,1,0,6,0,2,1
63.01,1.2,15.18,99.36,0.21,77.29,0.0,1020.5,1,0,7,0,2,1
61.7,1.19,15.37,99.36,0.26,60.16,0.0,1020.7,1,0,7,0,2,1
60.87,1.21,15.55,99.35,0.28,72.51,0.0,1021.0,1,0,7,0,2,1
60.87,1.24,15.8,99.35,0.25,82.06,0.0,1021.2,1,0,7,0,2,1
60.87,1.27,16.04,98.45,0.51,75.59,0.0,1021.4,1,0,8,0,2,1
63.18,1.31,16.28,96.98,0.7,80.33,0.0,1021.5,1,0,8,0,2,1
64.64,1.33,16.62,95.27,0.95,71.13,0.0,1021.7,1,0,8,0,2,1
64.64,1.33,17.19,93.24,0.7,73.53,0.0,1021.7,1,0,8,0,2,1
64.64,1.33,17.47,91.88,0.74,87.96,0.0,1021.7,1,0,9,0,2,1
70.19,1.27,17.68,90.55,0.58,91.08,0.0,1021.6,1,0,9,0,2,1
73.72,1.2,18.29,85.05,0.61,71.23,0.0,1021.7,1,0,9,0,2,1
73.72,1.16,18.83,81.0,0.88,86.76,0.0,1021.7,1,0,9,0,2,1
73.72,1.12,19.31,78.35,0.61,65.79,0.0,1021.6,1,0,10,0,2,1
71.64,1.11,19.41,79.8,0.86,99.27,0.0,1021.4,1,0,10,0,2,1
103.71,0.92,21.35,69.96,0.84,71.45,0.0,1019.9,1,0,12,0,3,0
103.71,0.94,21.64,68.06,0.56,91.05,0.0,1019.7,1,0,12,0,3,0
103.71,0.93,21.13,73.57,1.03,38.3,0.0,1019.4,1,0,12,0,3,0
103.71,0.92,21.49,70.17,0.64,8.82,0.0,1019.3,1,0,12,0,3,0
100.7,0.93,21.91,68.13,0.74,30.14,0.0,1019.1,1,0,13,0,3,0
94.68,0.93,21.96,66.72,1.53,6.75,0.0,1018.8,1,0,13,0,3,0
94.68,0.93,21.95,67.72,0.86,19.05,0.2,1018.6,1,0,13,0,3,0
94.68,0.95,22.01,67.34,0.95,25.41,0.0,1018.4,1,0,13,0,3,0
97.16,0.96,21.87,68.32,1.05,17.64,0.0,1018.2,1,0,14,0,3,0
102.12,0.96,21.74,68.64,0.97,28.93,0.0,1018.1,1,0,14,0,3,0
102.12,0.96,21.22,73.08,0.87,29.44,0.0,1018.0,1,0,14,0,3,0
102.12,0.97,21.18,71.11,0.89,10.7,0.0,1017.9,1,0,14,0,3,0
102.41,1.0,21.29,70.17,0.88,20.97,0.0,1017.8,1,0,15,0,3,0
102.98,1.01,21.16,72.03,0.95,8.64,0.0,1017.8,1,0,15,0,3,1
102.98,1.02,20.68,74.69,0.61,23.04,0.0,1017.8,1,0,15,0,3,1
102.98,1.03,20.56,75.92,0.68,20.45,0.0,1017.8,1,0,15,0,3,1
106.61,1.04,20.36,77.36,0.48,20.36,0.0,1017.9,1,0,16,0,3,1
113.87,1.14,20.02,79.79,0.37,22.11,0.0,1018.1,1,0,16,0,3,1
113.87,1.2,19.71,81.71,0.32,23.82,0.0,1018.2,1,0,16,0,3,1
113.87,1.22,19.37,83.72,0.28,27.3,0.0,1018.5,1,0,16,0,3,1
115.42,1.24,19.06,84.85,0.38,12.1,0.0,1018.7,1,0,17,0,3,1
118.51,1.28,18.81,85.32,0.32,7.31,0.0,1018.9,1,0,17,0,3,1
118.51,1.31,18.55,86.28,0.55,10.92,0.0,1019.2,1,0,17,0,3,1
118.51,1.31,18.32,87.21,0.46,7.64,0.0,1019.4,1,0,17,0,3,1
120.33,1.29,18.07,88.36,0.56,11.31,0.0,1019.6,1,0,18,0,4,1
123.98,1.32,17.77,90.17,0.36,12.76,0.0,1019.7,1,0,18,0,4,1
123.98,1.32,17.38,92.54,0.48,12.84,0.0,1019.9,1,0,18,0,4,1
123.98,1.33,17.04,93.98,0.27,26.37,0.0,1020.0,1,0,18,0,4,1
126.32,1.32,16.79,95.36,0.25,25.05,0.0,1020.2,1,0,19,0,4,1
131.0,1.31,16.47,96.71,0.25,1.06,0.0,1020.4,1,0,19,0,4,1
131.0,1.32,16.26,97.81,0.26,24.4,0.0,1020.6,1,0,19,0,4,1
131.0,1.34,16.41,96.37,0.36,25.01,0.0,1020.8,1,0,19,0,4,1
137.06,1.35,16.42,96.09,0.42,17.05,0.0,1020.8,1,0,20,0,4,1
149.17,1.38,16.28,96.2,0.55,16.31,0.0,1021.1,1,0,20,0,4,1
149.17,1.38,16.12,96.49,0.45,34.08,0.0,1021.2,1,0,20,0,4,1
149.17,1.37,15.85,97.4,0.6,16.7,0.0,1021.2,1,0,20,0,4,1
146.41,1.36,15.65,97.61,0.36,13.73,0.0,1021.3,1,0,21,0,4,1
140.89,1.36,15.45,98.22,0.39,33.36,0.0,1021.4,1,0,21,0,4,1
140.89,1.37,15.28,98.62,0.36,36.99,0.0,1021.4,1,0,21,0,4,1
140.89,1.36,15.09,99.23,0.46,35.63,0.0,1021.3,1,0,21,0,4,1
138.88,1.36,14.91,99.34,0.34,26.04,0.0,1021.1,1,0,22,0,4,1
134.87,1.37,14.74,99.35,0.46,34.62,0.0,1021.0,1,0,22,0,4,1
134.87,1.39,14.6,99.35,0.35,33.38,0.0,1020.8,1,0,22,0,4,1
134.87,1.35,14.43,99.36,0.25,14.47,0.0,1020.7,1,0,22,0,4,1
132.37,1.33,14.37,99.35,0.24,26.3,0.0,1020.6,1,0,23,0,4,1
127.39,1.3,14.18,99.36,0.22,30.61,0.0,1020.5,1,0,23,0,4,1
127.39,1.29,14.03,99.36,0.23,18.4,0.0,1020.5,1,0,23,0,4,1
126.28,1.23,13.82,99.37,0.28,10.06,0.0,1020.4,1,1,0,0,4,1
124.07,1.25,13.77,99.37,0.26,20.34,0.0,1020.2,1,1,0,0,4,1
124.07,1.26,13.55,99.37,0.5,20.41,0.0,1020.2,1,1,0,0,4,1
124.07,1.26,12.93,99.38,0.78,16.08,0.0,1020.0,1,1,0,0,4,1
124.42,1.27,12.61,99.38,1.25,86.09,0.0,1019.9,1,1,1,0,4,1
125.11,1.28,12.68,99.39,1.29,86.74,0.0,1019.8,1,1,1,0,4,1
125.11,1.27,12.78,99.39,0.77,84.17,0.0,1019.7,1,1,1,0,4,1
125.11,1.25,12.87,99.4,0.96,79.85,0.2,1019.7,1,1,1,0,4,1
121.74,1.22,12.93,99.39,0.98,63.9,0.0,1019.7,1,1,2,0,4,1
115.0,1.19,13.03,99.4,0.77,69.72,0.0,1019.6,1,1,2,0,3,1
115.0,1.17,12.86,99.4,1.34,63.43,0.0,1019.5,1,1,2,0,3,1
115.0,1.16,12.91,99.4,0.93,84.66,0.0,1019.5,1,1,2,0,3,1
111.78,1.15,13.04,99.4,0.36,90.86,0.0,1019.4,1,1,3,0,3,1
105.36,1.15,12.97,99.4,0.62,64.75,0.0,1019.6,1,1,3,0,3,1
105.36,1.13,12.88,99.4,0.51,73.89,0.0,1019.6,1,1,3,0,3,1
105.36,1.12,12.91,99.4,0.75,67.04,0.0,1019.7,1,1,3,0,3,1
104.68,1.11,12.96,99.4,0.74,81.86,0.0,1019.6,1,1,4,0,3,1
103.31,1.1,12.95,99.4,0.61,64.52,0.0,1019.7,1,1,4,0,3,1
103.31,1.09,13.03,99.4,0.65,66.33,0.0,1019.8,1,1,4,0,3,1
103.31,1.09,13.02,99.41,0.62,60.15,0.0,1019.9,1,1,4,0,3,1
101.96,1.09,12.96,99.4,1.01,77.99,0.0,1020.0,1,1,5,0,3,1
99.27,1.1,12.86,99.4,0.96,68.42,0.0,1020.2,1,1,5,0,3,1
99.27,1.1,12.81,99.4,0.78,84.18,0.0,1020.4,1,1,5,0,3,1
99.27,1.09,12.67,99.4,0.99,78.04,0.0,1020.6,1,1,5,0,3,1
98.87,1.04,12.44,99.4,1.54,64.92,0.0,1020.8,1,1,6,0,3,1
98.09,1.06,12.48,99.4,1.06,79.59,0.0,1021.0,1,1,6,0,3,1
98.09,1.06,12.56,99.4,0.7,91.55,0.0,1021.3,1,1,6,0,3,1
98.09,1.05,12.47,99.4,0.84,88.93,0.0,1021.5,1,1,6,0,3,1
97.08,1.04,12.42,99.39,1.07,70.11,0.0,1021.9,1,1,7,0,3,1
95.06,1.03,12.53,99.39,0.45,98.84,0.0,1022.0,1,1,7,0,3,1
95.06,1.03,12.72,99.39,0.51,85.33,0.0,1022.3,1,1,7,0,3,1
95.06,1.03,12.84,99.38,0.28,83.84,0.0,1022.5,1,1,7,0,3,1
97.79,1.03,13.07,99.38,0.43,103.19,0.0,1022.6,1,1,8,0,3,1
103.25,1.03,13.06,99.37,0.7,73.05,0.0,1022.6,1,1,8,0,3,1
103.25,1.04,13.16,99.37,0.58,70.31,0.0,1022.8,1,1,8,0,3,1
103.25,1.09,13.38,99.36,0.49,75.37,0.0,1022.9,1,1,8,0,3,1
105.22,1.1,13.69,99.35,0.46,88.42,0.0,1022.9,1,1,9,0,3,1
109.16,1.1,14.01,99.25,0.21,325.93,0.0,1022.9,1,1,9,0,3,1
109.16,1.11,14.51,96.98,0.53,65.55,0.0,1022.9,1,1,9,0,3,1
109.16,1.14,14.51,97.94,0.49,355.1,0.0,1022.8,1,1,9,0,3,1
111.03,1.12,14.99,95.23,0.54,51.62,0.0,1022.6,1,1,10,0,3,1
114.76,1.14,15.84,91.03,0.37,1.59,0.0,1022.4,1,1,10,0,3,1
114.76,1.16,16.41,87.38,0.49,346.25,0.0,1022.2,1,1,10,0,3,1
114.76,1.16,16.52,89.27,0.72,0.1,0.0,1021.9,1,1,10,0,3,1
114.39,1.17,16.94,86.9,0.68,61.33,0.0,1021.6,1,1,11,0,3,1
113.64,1.17,17.78,82.22,0.64,70.59,0.0,1021.2,1,1,11,0,3,1
113.64,1.15,18.09,82.44,0.65,54.0,0.0,1020.8,1,1,11,0,3,1
113.64,1.15,18.44,79.32,0.88,79.46,0.0,1020.4,1,1,11,0,3,1
120.7,1.07,19.14,73.41,1.33,70.75,0.0,1020.0,1,1,12,0,4,1
134.82,1.1,19.89,69.52,0.86,71.18,0.0,1019.6,1,1,12,0,4,1
134.82,1.08,19.94,69.33,1.24,78.17,0.0,1019.2,1,1,12,0,4,1
134.82,1.05,20.3,66.11,0.9,73.99,0.0,1018.9,1,1,12,0,4,1
131.14,0.96,20.76,60.9,1.56,54.8,0.0,1018.6,1,1,13,0,4,0
123.77,0.94,21.15,59.31,1.07,76.88,0.0,1018.4,1,1,13,0,4,0
123.77,0.92,21.42,57.79,0.72,86.02,0.0,1018.2,1,1,13,0,4,0
123.77,0.9,21.5,58.35,0.79,65.22,0.0,1018.0,1,1,13,0,4,0
123.95,0.91,21.5,57.53,0.88,91.65,0.0,1017.8,1,1,14,0,4,0
124.3,0.89,21.54,56.22,1.11,78.78,0.2,1017.6,1,1,14,0,4,0
124.3,0.86,21.57,56.4,0.92,48.37,0.0,1017.5,1,1,14,0,4,0
124.3,0.87,20.59,63.29,0.44,26.13,0.0,1017.3,1,1,14,0,4,0
120.95,0.83,21.03,57.16,0.9,35.26,0.0,1017.2,1,1,15,0,4,0
114.25,0.77,21.12,56.04,0.78,17.81,0.0,1017.2,1,1,15,0,3,0
114.25,0.78,20.44,62.15,0.51,28.34,0.0,1017.2,1,1,15,0,3,0
114.25,0.77,20.21,62.97,0.23,17.1,0.0,1017.2,1,1,15,0,3,0
114.53,0.78,20.07,62.6,0.26,15.73,0.0,1017.1,1,1,16,0,3,0
115.07,0.78,19.72,64.15,0.24,22.23,0.0,1017.1,1,1,16,0,3,0
115.07,0.83,19.22,69.88,0.2,47.08,0.0,1017.2,1,1,16,0,3,0
115.07,1.03,18.6,72.88,0.29,37.44,0.0,1017.5,1,1,16,0,3,1
115.3,1.26,18.1,75.73,0.29,44.01,0.0,1017.6,1,1,17,0,3,1
115.77,1.22,17.7,79.48,0.29,48.9,0.0,1017.8,1,1,17,0,3,1
115.77,1.13,17.31,82.16,0.43,47.6,0.0,1017.9,1,1,17,0,3,1
115.77,1.15,16.84,85.56,0.39,53.82,0.0,1018.2,1,1,17,0,3,1
117.33,1.13,16.39,89.91,0.33,46.21,0.0,1018.4,1,1,18,0,3,1
120.44,1.19,16.37,89.71,0.29,39.35,0.0,1018.5,1,1,18,0,4,1
120.44,1.18,16.11,91.56,0.29,49.6,0.0,1018.7,1,1,18,0,4,1
120.44,1.22,15.94,92.91,0.29,52.24,0.0,1019.0,1,1,18,0,4,1
117.34,1.24,15.55,96.09,0.29,49.8,0.0,1019.1,1,1,19,0,3,1
111.13,1.29,15.34,97.28,0.29,52.65,0.0,1019.3,1,1,19,0,3,1
111.13,1.33,15.29,97.24,0.29,47.64,0.0,1019.4,1,1,19,0,3,1
111.13,1.32,15.14,98.4,0.28,44.03,0.0,1019.7,1,1,19,0,3,1
110.87,1.33,15.08,98.5,0.29,47.92,0.0,1019.8,1,1,20,0,3,1
110.35,1.32,14.93,98.82,0.28,47.14,0.0,1019.9,1,1,20,0,3,1
110.35,1.32,14.84,99.18,0.28,41.42,0.0,1020.0,1,1,20,0,3,1
110.35,1.31,14.72,98.82,0.28,17.91,0.0,1020.1,1,1,20,0,3,1
113.22,1.29,14.54,97.41,0.23,1.19,0.0,1020.1,1,1,21,0,3,1
118.97,1.26,14.38,96.94,0.2,18.51,0.0,1020.1,1,1,21,0,3,1
118.97,1.24,14.15,97.79,0.17,19.65,0.0,1020.2,1,1,21,0,3,1
118.97,1.22,14.0,98.35,0.26,1.22,0.0,1020.3,1,1,21,0,3,1
116.28,1.2,13.91,98.55,0.23,5.63,0.0,1020.3,1,1,22,0,3,1
110.91,1.17,13.79,99.23,0.28,3.67,0.0,1020.2,1,1,22,0,3,1
110.91,1.16,13.8,99.03,0.25,6.45,0.0,1020.1,1,1,22,0,3,1
110.91,1.14,13.66,99.34,0.27,2.0,0.0,1020.1,1,1,22,0,3,1
105.8,1.12,13.54,99.34,0.18,0.09,0.0,1020.0,1,1,23,0,3,1
95.57,1.11,13.39,99.35,0.23,10.16,0.0,1019.9,1,1,23,0,3,1
95.57,1.1,13.36,99.35,0.28,11.43,0.0,1020.0,1,1,23,0,3,1
100.8,1.05,13.15,99.35,0.24,18.78,0.0,1020.2,1,2,0,0,3,1
111.26,1.08,13.28,99.35,0.25,26.22,0.0,1020.2,1,2,0,0,3,1
111.26,1.07,13.61,98.65,0.66,9.95,0.0,1020.2,1,2,0,0,3,1
111.26,1.09,13.9,97.54,0.64,18.6,0.0,1020.2,1,2,0,0,3,1
109.91,1.1,13.92,96.8,0.94,94.16,0.0,1020.2,1,2,1,0,3,1
107.23,1.09,13.72,97.07,0.87,81.43,0.0,1020.2,1,2,1,0,3,1
107.23,1.07,13.62,97.93,0.69,72.51,0.0,1020.1,1,2,1,0,3,1
107.23,1.07,13.5,98.71,0.29,67.72,0.0,1020.2,1,2,1,0,3,1
101.83,1.07,13.23,99.11,0.81,63.17,0.0,1020.2,1,2,2,0,3,1
91.04,1.05,12.82,99.36,1.22,67.98,0.0,1020.2,1,2,2,0,3,1
91.04,1.06,12.69,99.37,1.15,68.3,0.0,1020.1,1,2,2,0,3,1
91.04,1.06,12.69,99.37,0.83,80.54,0.0,1020.0,1,2,2,0,3,1
88.22,1.05,12.67,99.37,1.3,63.49,0.0,1019.9,1,2,3,0,2,1
82.58,1.04,12.65,99.38,0.81,74.63,0.0,1019.7,1,2,3,0,2,1
82.58,1.02,12.44,99.38,0.78,86.16,0.2,1019.6,1,2,3,0,2,1
82.58,1.02,12.32,99.38,0.67,66.95,0.0,1019.6,1,2,3,0,2,1
83.37,1.03,12.21,99.38,0.94,84.17,0.0,1019.6,1,2,4,0,2,1
84.95,1.01,12.12,99.38,0.65,79.89,0.0,1019.6,1,2,4,0,2,1
84.95,1.01,12.12,99.38,0.8,84.24,0.0,1019.7,1,2,4,0,2,1
84.95,0.99,12.06,99.37,0.73,80.71,0.0,1019.8,1,2,4,0,2,0
83.59,0.98,12.06,99.37,1.13,74.73,0.0,1020.0,1,2,5,0,2,0
80.85,0.97,11.97,99.37,1.03,89.17,0.0,1020.2,1,2,5,0,2,0
80.85,0.99,11.96,99.36,0.77,83.63,0.0,1020.4,1,2,5,0,2,0
80.85,1.04,11.98,99.36,0.99,75.39,0.0,1020.5,1,2,5,0,2,1
75.18,0.96,12.09,99.36,0.63,71.69,0.0,1020.5,1,2,6,0,2,0
63.85,1.07,11.99,99.36,0.61,84.39,0.0,1020.7,1,2,6,0,2,1
63.85,1.13,11.88,99.36,0.62,65.52,0.0,1020.9,1,2,6,0,2,1
63.85,1.16,11.85,99.36,0.75,80.38,0.0,1021.2,1,2,6,0,2,1
67.56,1.16,11.87,99.36,0.53,51.22,0.0,1021.4,1,2,7,0,2,1
74.97,1.16,11.88,99.35,0.52,86.33,0.0,1021.7,1,2,7,0,2,1
